date,strategy,ret
2025-07-02,equal_weight,0.005362051668422814
2025-07-03,equal_weight,0.0081025109726937
2025-07-07,equal_weight,-0.006092064704738369
2025-07-08,equal_weight,-0.008623869921828516
2025-07-09,equal_weight,0.003395334932245145
2025-07-10,equal_weight,0.0054967875135382895
2025-07-11,equal_weight,-0.0064488882481657924
2025-07-14,equal_weight,0.0013776762649556258
2025-07-15,equal_weight,-0.0020393843770696966
2025-07-16,equal_weight,0.007235730814627953
2025-07-17,equal_weight,0.006281936428154371
2025-07-18,equal_weight,-0.0015662078564183375
2025-07-21,equal_weight,0.0013269782291849498
2025-07-22,equal_weight,0.001871500299538235
2025-07-23,equal_weight,0.00910848728335755
2025-07-24,equal_weight,-0.004947464099964301
2025-07-25,equal_weight,0.0045674203431872
2025-07-28,equal_weight,0.0014336281485184546
2025-07-29,equal_weight,-0.00018049509401122743
2025-07-30,equal_weight,-0.001634383248890151
2025-07-31,equal_weight,-0.006593561534383543
2025-08-01,equal_weight,-0.01024235230719941
2025-08-04,equal_weight,0.014097596354170442
2025-08-05,equal_weight,-0.006796326339560569
2025-08-06,equal_weight,0.00851707124533425
2025-08-07,equal_weight,-0.0043124350600208805
2025-08-08,equal_weight,0.004020003987931778
2025-08-11,equal_weight,-0.0036667522657081327
2025-08-12,equal_weight,0.006574367944062905
2025-08-13,equal_weight,0.005260754000240664
2025-08-14,equal_weight,0.000791495187463272
2025-08-15,equal_weight,-0.004028002515257612
2025-08-18,equal_weight,0.001195652443620965
2025-08-19,equal_weight,-0.0020082516673636695
2025-08-20,equal_weight,0.0016833189364381085
2025-08-21,equal_weight,-0.006307231197010813
2025-08-22,equal_weight,0.014228943956601
2025-08-25,equal_weight,-0.0043363809479776945
2025-08-26,equal_weight,0.0032525778455574066
2025-08-27,equal_weight,0.00160562823455026
2025-08-28,equal_weight,0.0005779901881342181
2025-08-29,equal_weight,-0.003791025772050616
2025-09-02,equal_weight,-0.006239516301385431
2025-09-03,equal_weight,0.00454929353220391
